patient_id,national_code,first_name,last_name,birth_date,gender,phone,address,blood_type,allergies,insurance_id,registration_date
85,9937124069,دلارام,صالحی,1978-01-02,زن,09245937526,"177 بهرامی چهار راه سوئیت 680، شهرستان حدیث, فارس 2535",,,4,2025-06-19
86,9356465193,رویا,کاظمی,1996-08-26,زن,09741672434,"3842 معین پل، باغات بنیامین, بوشهر 9959",O+,,,2023-09-28
87,1797968866,احمد,اکبری,1973-08-22,مرد,09290965610,"09439 هوشیار کوچه، استان ماهان, سیستان و بلوچستان 73647",B-,,5,2024-01-25
88,8993756791,اردشیر,کریمی,2016-12-01,مرد,09125457387,"76773 معروف میدان، شهر ماهان, کرمان 258815",A-,,4,2024-03-05
89,5140105128,آرش,مقدم,1997-11-01,مرد,09362266093,"47321 ياسمين جزیره واحد 325، جنوب محمدعلي, تهران 877470",O+,,2,2024-06-26
90,3419182554,هدیه,بهرامی,1957-11-23,زن,09915579249,"733 حمیدی خیابان واحد 797، شهرستان زهرا, اصفهان 245650",B+,,2,2025-05-06
91,4125286698,شادی,عباسی,1996-12-04,زن,09225790507,"835 احمدی جزیره، شهرستان آتنا, البرز 1655",O+,,5,2024-07-23
92,7676772192,لیلا,باقری,1983-07-29,زن,09797881914,"98680 آتنا میدان، دهستان یوسف, هرمزگان 9825",,,3,2025-02-16
93,8078361343,حسین,سلطانی,1990-02-15,مرد,09395962923,"9495 علی پور تقاطع، شمال نازنين, قم 694",,,5,2024-01-29
94,5849825444,مجید,قاسمی,2008-05-30,مرد,09232536729,"9930 جلالی جزیره سوئیت 309، جنوب نازنین زهرا, مرکزی 62636",O+,,,2025-11-23
95,1168457750,ایمان,میرزایی,2008-12-16,مرد,09636374545,"283 ضرغامی تونل، شهر معصومه, هرمزگان 5854973348",B+,,,2025-08-06
96,7500170122,لیلا,باقری,1969-05-06,زن,09415415206,"4375 زارعی جنب، غرب علی اكبر, کهگیلویه و بویراحمد 524041",B-,,,2024-04-30
97,1103712934,نازنین,غفاری,2018-08-14,زن,09271361115,"473 امیرمهدی جنب واحد 219، جنوب هستی, خراسان شمالی 0165",AB+,سولفانامید,,2025-07-07
98,2218909278,مریم,جعفری,2001-01-11,زن,09219656523,"208 متین تونل، استان ستايش, سیستان و بلوچستان 40193",A-,,,2026-01-26
99,9994043897,مهناز,سلطانی,1982-09-18,زن,09761379180,"2067 علي تقاطع، شمال حسنا, اصفهان 47887",,,,2023-11-23
100,2696582718,مهناز,بهرامی,1990-04-24,زن,09848666188,"3152 قاضی جنب سوئیت 054، شرق سبحان, گلستان 851612",AB+,پنی‌سیلین,,2023-10-24
101,8328569140,آرش,صادقی,1990-07-14,مرد,09799042102,"3046 سبحان جنب واحد 499، بندر محمدمهدي, کرمانشاه 0174",,لیدوکائین,5,2024-12-16
102,8425241057,بابک,رحیمی,2012-03-25,مرد,09079252419,"841 صارمی بلوار سوئیت 272، باغات النا, لرستان 7833918785",A-,,5,2024-01-08
103,0003075621,پریسا,نجفی,2015-10-27,زن,09541951802,"88398 مائده آزاد راه، غرب احسان, خراسان رضوی 7187072867",A+,,1,2025-12-09
104,7445187057,یاسمن,افشار,1981-09-30,زن,09383206038,"406 محمدی بن بست سوئیت 065، شهرستان باران, کردستان 046226",A+,,1,2024-12-12
105,6413836709,فرزاد,شکوهی,1985-06-27,مرد,09657191826,"6618 محمدمهدي بزرگ راه سوئیت 286، جنوب فاطمه, آذربایجان غربی 78686",A+,,,2023-11-01
106,2344565574,الهام,سعیدی,1998-06-02,زن,09756185374,"5243 یسنا کوه، جنوب زهرا, کردستان 907",A-,سولفانامید,3,2024-03-14
107,9035213564,نازنین,سعیدی,1987-05-16,زن,09883171210,"067 محمدیاسین بن بست، شرق عرشیا, سیستان و بلوچستان 9599",B-,سولفانامید,,2023-10-06
108,6519941018,رویا,رضایی,2004-06-22,زن,09296670662,"2836 شبیری خیابان، استان محمدحسين, مازندران 7056856624",B+,,4,2025-06-13
109,2099934762,سعید,شکوهی,2009-03-17,مرد,09380657875,"733 علی پور میدان، شمال یاسین, لرستان 882634",,,4,2025-09-26
110,4205930402,حسین,سلطانی,1974-10-21,مرد,09348039652,"175 امیرمهدی بن بست سوئیت 469، غرب محدثه, خراسان رضوی 354033",AB-,,,2024-11-22
111,5905992932,محمد,کریمی,1956-11-16,مرد,09039308705,"93638 عزیزی تقاطع واحد 785، بندر مليکا, یزد 175355",,,2,2025-04-27
112,5250029213,فرهاد,هاشمی,2011-01-28,مرد,09522675289,"320 میردامادی کوه، شرق فاطمه, قم 6937",,,5,2025-10-22
113,2644220963,وحید,زارعی,2016-05-04,مرد,09917251355,"7725 آوا تونل سوئیت 808، غرب مهدي, خراسان 623",A-,,,2025-05-16
114,5704331548,مهدی,نجفی,2014-01-21,مرد,09765861793,"38750 ضرغامی تونل، شمال آرین, لرستان 084",A-,,1,2026-01-17
115,4054115268,بهاره,باقری,2012-02-15,زن,09962015336,"621 احسان میدان، جنوب آرتين, زنجان 46156",AB+,,3,2026-04-18
116,3106987200,زهرا,کاظمی,1982-09-10,زن,09241714677,"341 نازنین جزیره، روستای پارسا, همدان 021",,,5,2026-04-13
117,6256527046,سپیده,جعفری,1985-10-29,زن,09158693806,"591 زينب بن بست واحد 401، شهرستان علی رضا, اردبیل 5039",,,5,2023-12-08
118,7937416084,مهدی,کاظمی,2002-06-09,مرد,09320616329,"42939 نوبختی آزاد راه واحد 218، شمال آیلین, مازندران 1599",A-,ید,4,2026-02-08
119,8548709987,شهرام,جعفری,2001-05-26,مرد,09485646799,"47735 سعیدی چهار راه واحد 194، غرب ملیكا, سمنان 6265",B+,,,2024-02-25
120,2996065301,بهرام,هاشمی,1973-08-06,مرد,09471324754,"04754 مهدیس پل، روستای سبحان, لرستان 015",,,,2025-06-25
121,1373678501,فرشته,شکوهی,1980-08-16,زن,09902330307,"0466 رضا بلوار سوئیت 622، بندر ثنا, یزد 1264",AB-,,3,2026-06-06
122,5786103579,حامد,فرهادی,1959-10-24,مرد,09140602933,"1543 هاشمی بن بست واحد 124، روستای مهسا, کهگیلویه و بویراحمد 75692",B-,,4,2025-07-20
123,8007229035,آزاده,اکبری,1980-08-15,زن,09743748969,"375 ابوالفضل آزاد راه واحد 793، روستای آتنا, گلستان 19398",AB-,,5,2025-02-17
124,9441715451,احمد,رضایی,1982-05-10,مرد,09965207446,"737 نیلوفری پل، استان علیرضا, ایلام 34266",A+,,5,2024-06-06
125,3538758425,میلاد,فرهادی,1997-03-13,مرد,09825135346,"796 ضابطی خیابان واحد 891، جنوب متين, کرمان 9096",,,3,2024-02-19
126,9471709997,بهاره,رضایی,1956-06-20,زن,09223569725,"01438 سبحان بزرگ راه واحد 798، شهر زینب, همدان 461",,,1,2025-09-23
127,7525007438,آرش,غفاری,1999-12-03,مرد,09667600835,"4573 زارعی تونل، دهستان حسام, مرکزی 14010",,,5,2024-01-31
128,3003354213,لیلا,مقدم,1999-07-08,زن,09898562575,"238 پارسا چهار راه، شهرستان علی, هرمزگان 6226",,سولفانامید,4,2023-11-05
129,0332309827,هدیه,رضایی,2016-01-26,زن,09901001676,"937 سرخوشیان کوچه، جنوب آتنا, کردستان 1825537147",AB+,,,2025-01-08
130,2304618499,ایمان,جعفری,2006-11-20,مرد,09739348356,"691 ربانی جاده سوئیت 499، استان رها, قزوین 341",A+,,2,2024-04-01
131,7530011979,رویا,عباسی,2011-06-17,زن,09470120455,"286 هاشمی میدان واحد 627، شهرستان مائده, یزد 22579",A-,سولفانامید,1,2025-01-09
132,0225579413,نگار,خسروی,2006-01-15,زن,09762120216,"72368 رفیعی تونل واحد 772، باغات سارا, خراسان شمالی 04384",,,,2025-10-31
133,9729659028,ترانه,طاهری,1968-01-05,زن,09089935889,"788 علی اكبر دره واحد 858، دهستان ماهان, خراسان رضوی 134074",B-,,4,2023-11-06
134,2890028771,مجید,رضایی,1961-03-08,مرد,09838663177,"1339 علی پور کوه، باغات آوا, خراسان رضوی 0958",,,4,2024-12-09
135,7517016601,داریوش,کاظمی,2011-10-02,مرد,09755037589,"4494 رها کوه، بندر محمدمهدي, ایلام 3253",AB-,,,2025-04-18
136,1130554880,غزاله,نجفی,1998-12-01,زن,09149331637,"94667 عرفان پل واحد 845، دهستان آيلين, آذربایجان شرقی 751",,,,2024-05-17
137,5160917799,داریوش,غفاری,1957-08-18,مرد,09978292216,"3745 زارع میدان، شهر احسان, خراسان 170",AB-,,4,2026-07-25
138,6934654722,پگاه,علوی,1981-08-20,زن,09333945228,"7063 محمدياسين تقاطع، بندر نازنین, کرمانشاه 15206",AB-,,3,2025-05-07
139,8799684608,پدرام,باقری,2005-07-12,مرد,09442043805,"1103 احمدی میدان، شهرستان احسان, مرکزی 051",,سولفانامید,5,2023-11-27
140,3863840666,نگار,شریفی,1979-11-06,زن,09973598933,"1361 نرگس آزاد راه، بندر آوا, کهگیلویه و بویراحمد 2189",B+,,1,2023-11-22
141,2281606481,پگاه,امینی,1988-08-10,زن,09025909479,"5326 نوروزی پل، شرق اميرمهدي, البرز 6565234138",A-,,3,2025-06-10
142,8328182688,بهرام,کاظمی,1992-04-24,مرد,09987801573,"438 علي جزیره، استان محیا, خوزستان 613791",,,5,2025-06-13
143,3056164842,فاطمه,عباسی,1972-11-26,زن,09358112880,"2696 ضابطی چهار راه واحد 109، شمال محدثه, خراسان رضوی 068",B-,,2,2026-06-10
144,6138612078,داریوش,موسوی,2014-07-10,مرد,09934667665,"6188 آتنا پل واحد 183، شهرستان آيلين, گلستان 1463031617",A-,,,2024-08-02
145,9190158148,حامد,محمدی,2009-03-16,مرد,09728326842,"210 محمدامين کوچه سوئیت 758، شرق النا, ایلام 10564",AB-,,1,2026-01-16
146,8821009963,فرزاد,توکلی,1981-04-29,مرد,09222394312,"917 چنگیزی بزرگ راه سوئیت 792، شرق سارا, اصفهان 1380003075",A+,,5,2025-07-08
147,7814141397,هدیه,موسوی,2003-08-31,زن,09357759492,"08635 عرفان آزاد راه، غرب علی اكبر, کرمانشاه 802",AB-,,4,2024-11-26
148,2053364521,بهرام,افشار,1958-12-27,مرد,09812914283,"1744 علیجانی جاده، شهر ستايش, سیستان و بلوچستان 4937597383",A-,,1,2026-02-01
149,8099693086,پریسا,رستمی,1959-09-20,زن,09427881658,"0385 مهسا کوچه، بندر نرگس, خراسان رضوی 3670241038",B-,,5,2024-06-03
150,2827229927,احمد,موسوی,1975-07-27,مرد,09453038567,"1918 اميرمحمد جزیره سوئیت 990، استان مهدیس, خوزستان 45655",,,,2024-10-25
151,0518449890,آزاده,زارعی,1973-10-20,زن,09865577908,"13291 حنانه چهار راه واحد 756، شهرستان حلما, خراسان رضوی 474112",,,2,2024-01-10
152,1843222590,سینا,دهقان,1991-01-12,مرد,09739260302,"52135 چنگیزی خیابان، بندر معصومه, آذربایجان غربی 788317",B+,ید,1,2025-06-10
153,9202428697,سینا,دهقان,1984-07-01,مرد,09236929298,"00323 صارمی پل، غرب النا, کردستان 7215",AB-,,5,2024-10-20
154,9136621031,فرزاد,نیکنام,1967-06-03,مرد,09908811729,"0296 جهانی کوچه، استان علی, چهارمحال و بختیاری 32447",A+,,4,2024-02-17
155,8650863760,فرشته,زارعی,2008-01-03,زن,09149864300,"993 جهانی کوه، شمال سارینا, سمنان 263838",A-,,4,2024-05-04
156,3565126949,آزاده,کاظمی,1973-10-07,زن,09688725887,"578 زارعی آزاد راه واحد 420، باغات يسنا, آذربایجان غربی 07859",AB+,,,2025-02-18
157,6213721381,زهرا,کریمی,2014-05-16,زن,09279611435,"33480 محمدجواد جزیره، شرق مهدیه, خوزستان 5590599293",A+,,,2025-10-08
158,6984902770,مهسا,شکوهی,1984-05-06,زن,09392053021,"70103 النا تونل سوئیت 593، شهر طاها, چهارمحال و بختیاری 00292",,,,2023-10-11
159,5669380118,سعید,مقدم,1976-02-20,مرد,09690426818,"56915 ظفری میدان سوئیت 675، شهرستان عليرضا, کرمان 9264",AB+,,1,2025-02-20
160,8489476977,نوید,محمدی,1961-09-05,مرد,09714163356,"09690 پرهام آزاد راه، استان علی رضا, اصفهان 251355",,,,2026-03-04
161,0434165182,میلاد,شریفی,1975-04-27,مرد,09733343333,"570 مهدیان بلوار، شهر سارا, اصفهان 067",,,1,2025-02-05
162,1179080750,اردشیر,توکلی,1984-12-05,مرد,09463920867,"7658 ابوطالبی تونل، شرق مهدی, کردستان 405",,لیدوکائین,,2024-08-12
163,6271875009,مجید,نوری,2008-02-23,مرد,09843479552,"52621 پرنيا تونل، روستای محمدمهدي, تهران 6201533688",B-,,3,2025-08-13
164,5647292933,سعید,امینی,1989-11-01,مرد,09270267288,"3106 حریریان خیابان واحد 061، استان آرمين, همدان 1032",,,,2026-01-05
165,4489061201,سمیرا,علوی,2007-12-21,زن,09845061593,"1467 ضرغامی جنب، استان ماهان, کهگیلویه و بویراحمد 5652",B+,,3,2025-06-19
166,5587716945,هدیه,پارسا,1998-09-17,زن,09611253554,"7743 نامور خیابان، استان مهسا, گیلان 86938",,,4,2025-06-24
167,4759876227,سامان,کریمی,1989-09-08,مرد,09326111780,"687 طاها تقاطع سوئیت 608، غرب عباس, مرکزی 2332",O+,,,2024-12-31
168,1149216433,زهرا,حسینی,2004-06-02,زن,09557784872,"63294 موسوی پل سوئیت 686، بندر رضا, هرمزگان 998",,,,2026-07-17
169,2997968844,آرش,فرهادی,1991-06-28,مرد,09240082547,"2299 حنانه دره، شهرستان آيدا, لرستان 67997",O-,,4,2026-01-24
170,4064930851,غزاله,خسروی,1965-01-28,زن,09634163894,"6299 مجتهدی جزیره، جنوب هستی, همدان 50544",AB+,,1,2024-12-27
171,2241797499,سارا,عباسی,2001-07-15,زن,09427031207,"132 موحد جاده واحد 469، جنوب حسین, خراسان رضوی 785082",O+,,4,2026-08-03
172,5705120461,سارا,سلطانی,1996-04-04,زن,09673037183,"862 معصومه بن بست سوئیت 030، شمال مليکا, خراسان جنوبی 57861",AB+,,,2025-09-23
173,2088147438,بهاره,طاهری,1938-05-06,زن,09024916300,"7972 محجوب بزرگ راه، شرق رها, گیلان 06029",O-,,2,2024-03-22
174,5132719503,نسرین,اکبری,2007-06-05,زن,09730652407,"334 چنگیزی کوچه، دهستان مهدیس, چهارمحال و بختیاری 0349446657",,,5,2026-04-29
175,7392855743,بهرام,فرهادی,2000-07-05,مرد,09857086209,"4896 اسما بزرگ راه، بندر اميررضا, اصفهان 154544",,,2,2026-07-26
